DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
Higher Education Institutions,高等教育院校,Saint Francis University,"2 Chui Ling Lane, Tseung Kwan O, New Territories.",聖方濟各大學,新界將軍澳翠嶺里2號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818285.77314269,843915.49374266,22.30350496,114.25109227,2024-02-22 11:05:49,843915.4937000005,818285.7730999999
Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Jockey Club Undergraduate Campus),"2 On Shing Street, Ma On Shan, Shatin, N.T.",香港專業進修學校 (賽馬會本科校園),新界沙田馬鞍山鞍誠街2號,,,,,,,,,,,831503,841818,22.42287172,114.23078233,2024-02-19 16:49:20,841818,831503
Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University,"11 Yuk Choi Road , Hung Hom, Kowloon",香港理工大學,九龍紅磡育才道 11 號,,,,,,,,,,,818355,836556,22.30414709,114.17966937,2024-02-19 16:49:07,836556,818355
Higher Education Institutions,高等教育院校,Gratia Christian College,"5 Wai Chi Street, Shek Kip Mei, Kowloon, Hong Kong",宏恩基督教學院,九龍石硤尾偉智街5號,,,,,,,,,,,821536,835376,22.33287321,114.1682158,2024-02-19 16:48:58,835376,821536
Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Jockey Club Undergraduate Campus),"2 On Shing Street, Ma On Shan, N.T.",港專學院 (賽馬會本科校園),新界沙田馬鞍山鞍誠街2號,,,,,,,,,,,831503,841818,22.42287172,114.23078233,2024-02-19 16:48:41,841818,831503
Higher Education Institutions,高等教育院校,HKU SPACE Community College (CITA Learning Centre),"63 Tai Yip Street, Kowloon Bay, Kowloon ",香港大學附屬學院 (製衣業訓練局教學中心),九龍九龍灣大業街63號 ,,,,,,,,,,,820123,839975,22.32010922,114.21285456,2024-02-19 16:48:28,839975,820123
Higher Education Institutions,高等教育院校,Yew Chung College of Early Childhood Education,"2 Tin Wan Hill Road, Tin Wan, Aberdeen, Hong Kong",耀中幼教學院,香港香港仔田灣田灣山道2號,,,,,,,,,,,812375,833259,22.25014127,114.14768345,2024-02-19 16:48:19,833259,812375
Higher Education Institutions,高等教育院校,Hong Kong Chu Hai College,"80 Castle Peak Road, Castle Peak Bay, Tuen Mun, N.T",香港珠海學院,新界屯門青山公路青山灣段 80 號,,,,,,,,,,,826293,816720,22.37572052,113.9870661,2024-02-19 16:48:00,816720,826293
Higher Education Institutions,高等教育院校,City University of Hong Kong - School of Continuing and Professional Education,"2410, 2/F, Li Dak Sum Yip Yio Chin Academic Building (LI), City University of Hong Kong, Tat Chee Avenue, Kowloon",香港城巿大學專業進修學院,九龍塘達之路香港城市大學李達三葉耀珍學術樓2樓2410室,,,,,,,,,,,822065,835714,22.33765053,114.17149655,2024-02-19 16:47:44,835714,822065
Higher Education Institutions,高等教育院校,Hong Kong Art School (a division of Hong Kong Arts Centre) (Main Campus),"10/F, Hong Kong Arts Centre, 2 Harbour Road, Wanchai, Hong Kong",香港藝術學院 (香港藝術中心附屬機構) (本部),香港灣仔港灣道 2 號香港藝術中心 10 樓,,,,,,,,,,,815716,835644,22.28031519,114.1708195,2024-02-19 16:47:27,835644,815716
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education (Fanling),"3/F, Carpark No. 1, Cheung Wah Estate, Fanling, New Territories.",明愛社區書院 (粉嶺),新界粉嶺祥華村一號停車場三樓,,,,,,,,,,,839292,832720,22.49321514,114.14239477,2024-02-19 16:47:17,832720,839292
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education (Tsuen Wan),"146 Chung On Street, Tsuen Wan, N.T.",明愛社區書院 (荃灣),新界荃灣眾安街146號,,,,,,,,,,,825432,830006,22.3680451,114.11607451,2024-02-19 16:47:07,830006,825432
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education (Yaumati),"4 Cliff Road, Yaumati, Kowloon",明愛社區書院 (油麻地),九龍油麻地石壁道4號,,,,,,,,,,,819125,835750,22.31110061,114.17184696,2024-02-19 16:46:56,835750,819125
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education (Tuen Mun),"Units 21-34, G/F, Wu Yuet House, Wu King Estate, Tuen Mun, N.T.",明愛社區書院 (屯門),新界屯門湖景邨湖月樓地下21-34室,,,,,,,,,,,826414,814455,22.37678592,113.96507173,2024-02-19 16:46:46,814455,826414
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education (Yuen Long),"G/F, Shop 1, Dip Shui House, Shui Pin Wai Estate, Yuen Long, N.T.",明愛社區書院 (元朗),新界元朗水邊圍邨疊水樓地下1號,,,,,,,,,,,834033,820122,22.44565163,114.0200205,2024-02-19 16:46:36,820122,834033
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"11 Caine Road, Central, Hong Kong (Main Administration Office)",明愛社區書院,中環堅道11號 (總行政辦事處),,,,,,,,,,,815649,833941,22.27970868,114.15429493,2024-02-19 16:46:27,833941,815649
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education (Tin Hau),"1/F, SUP Tower, 75 – 83 King’s Road, North Point, Hong Kong",明愛社區書院 (天后),香港英皇道75至83號聯合出版大廈一樓,,,,,,,,,,,816366,837905,22.28618443,114.19275926,2024-02-19 16:46:11,837905,816366
Higher Education Institutions,高等教育院校,Caritas Institute of Community Education (Hung Hom),"5 Dyer Avenue, Hung Hom, Kowloon",明愛社區書院 (紅磡),九龍紅磡戴亞街5號,,,,,,,,,,,818729,837452,22.30752415,114.18836525,2024-02-19 16:46:02,837452,818729
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Shatin Learning Centre),"Shop 605, 6/F., Jubilee Square, 2-18 Lok King Street, Shatin, New Territories",香港科技專上書院 (沙田教學中心),新界沙田火炭樂景街2-18號銀禧薈6樓605室,,,,,,,,,,,828570,838624,22.39639266,114.19975421,2024-02-19 16:45:52,838624,828570
Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University (The Jockey Club Campus),"81 Chung Hau Street, Ho Man Tin, Kowloon",香港都會大學 (賽馬會校園),九龍何文田忠孝街81號,,,,,,,,,,,819631,836403,22.31567016,114.17818462,2024-02-19 16:45:43,836403,819631
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Fanling Learning Centre),"Shop R40, G/F., Wah Sum Shopping Centre, Wah Sum Estate, 18 Yat Ming Road, Fanling, New Territories",香港科技專上書院 (粉嶺教學中心),新界粉嶺一嗚路18號華心邨華心商場地下R40號舖,,,,,,,,,,,838568,832689,22.48667706,114.14209514,2024-02-19 16:45:31,832689,838568
Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Tseung Kwan O Learning Centre)","Tsui Lam Estate, Tseung Kwan O",香港中文大學專業進修學院 (將軍澳教學中心),將軍澳翠林邨,,,,,,,,,,,820447,843586,22.32302355,114.24790446,2024-02-19 16:45:11,843586,820447
Higher Education Institutions,高等教育院校,HKU School of Professional and Continuing Education (Admiralty Learning Centre),"2/F & 3/F, Admiralty Centre, 18 Harcourt Road, Admiralty, Hong Kong",香港大學專業進修學院 (金鐘教學中心),香港金鐘夏愨道18號海富中心2樓及3樓,,,,,,,,,,,815608,835062,22.27933957,114.16517228,2024-02-19 16:45:01,835062,815608
Higher Education Institutions,高等教育院校,HKU SPACE Po Leung Kuk Stanley Ho Community College,"66 Leighton Road, Causeway Bay, Hong Kong",香港大學專業進修學院保良局何鴻燊社區書院,香港銅鑼灣禮頓道66號,,,,,,,,,,,815357,837066,22.27707311,114.18461737,2024-02-19 16:44:52,837066,815357
Higher Education Institutions,高等教育院校,HKU SPACE Community College (United Learning Centre),"United Centre, 95 Queensway, Hong Kong",香港大學附屬學院 (統一教學中心),香港金鐘道95號統一中心,,,,,,,,,,,815501,835071,22.2783733,114.16525969,2024-02-19 16:44:37,835071,815501
Higher Education Institutions,高等教育院校,HKU School of Professional and Continuing Education (United Learning Centre),"6/F, United Centre, 95 Queensway, Admiralty, Hong Kong",香港大學專業進修學院 (統一教學中心),香港金鐘道95號統一中心6樓,,,,,,,,,,,815501,835071,22.2783733,114.16525969,2024-02-19 16:44:26,835071,815501
Higher Education Institutions,高等教育院校,City University of Hong Kong,"Tat Chee Avenue, Kowloon",香港城市大學,九龍達之路,,,,,,,,,,,821912,835879,22.33626889,114.17309828,2024-02-19 16:44:11,835879,821912
Higher Education Institutions,高等教育院校,Hong Kong Academy for Performing Arts,"1 Gloucester Road,Wanchai",香港演藝學院,香港灣仔告士打道一號,,,,,,,,,,,815664,835536,22.27984555,114.16977157,2024-02-19 16:44:00,835536,815664
Higher Education Institutions,高等教育院校,The Chinese University of Hong Kong,"Inter-University Hall, The Chinese University of Hong Kong, Shatin, NT",香港中文大學,新界沙田香港中文大學博文苑,,,,,,,,,,,830423,839633,22.41312449,114.20955683,2024-02-19 16:43:50,839633,830423
Higher Education Institutions,高等教育院校,Hong Kong Baptist University,"5/F, David C. Lam Building, Shaw Campus, Hong Kong Baptist University,34 Renfrew Road, Kowloon Tong",香港浸會大學,九龍塘聯福道三十四號香港浸會大學逸夫校園思齊樓五字樓,,,,,,,,,,,822020,836773,22.33724416,114.1817765,2024-02-19 16:43:40,836773,822020
Higher Education Institutions,高等教育院校,The Hong Kong University of Science and Technology,"Clear Water Bay, Kowloon",香港科技大學,香港九龍清水灣,,,,,,,,,,,822013,845199,22.33715781,114.26356932,2024-02-19 16:43:29,845199,822013
Higher Education Institutions,高等教育院校,The Education University of Hong Kong (North Point Study Centre),"19 Cheung Hong St, North Point, Hong Kong Island, Hong Kong",香港教育大學 (北角教育中心),香港北角長康街十九號,,,,,,,,,,,816697.40650086,838227.95350371,22.2891769,114.1958935,2024-01-08 10:24:41,838227.9534999998,816697.4065000005
Higher Education Institutions,高等教育院校,The Education University of Hong Kong (Tseung Kwan O Study Centre Office),"1 King Yin Lane, Tseung Kwan O, New Territories, Hong Kong",香港教育大學 (將軍澳教學中心),香港九龍將軍澳敬賢里1號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820817.1,844832.6,22.32636031,114.26000621,2023-08-21 10:32:13,844832.5999999996,820817.0999999996
Higher Education Institutions,高等教育院校,Lingnan University,"8 Castle Peak Road, Tuen Mun, NT.",嶺南大學,新界屯門青山公路八號,,,,,,,,,,,830130.2,816326.9,22.41036798,113.9832012,2023-07-26 10:01:08,816326.9000000004,830130.1999999993
Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education (Kwai Hing Campus),"8/F-11/F, Tower 2, Kowloon Commerce Centre ,51-53 Kwai Cheong Road,Kwai Chung, N.T.",香港都會大學 - 李嘉誠專業進修學院 (葵興校園),新界葵涌葵昌路51-53號九龍貿易中心第2座8-11樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,824786.2,831733.8,22.3622189,114.13285213,2023-07-26 09:55:38,831733.7999999998,824786.1999999993
Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University - Hong Kong Community College (Hung Hom Bay Campus),"8 Hung Lok Road, Hung Hom, Kowloon",香港理工大學 - 香港專上學院 (紅磡灣校園),九龍紅磡紅樂道8號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818298.4,837065.4,22.30363609,114.18461303,2023-07-26 09:53:37,837065.4000000004,818298.4000000004
Higher Education Institutions,高等教育院校,HKU SPACE Community College (Kowloon East Campus),"Lee Shiu Building, 28 Wang Hoi Road, Kowloon Bay, Hong Kong",香港大學附屬學院 (九龍東分校),香港九龍灣宏開道28號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820586,839780.9,22.32429108,114.21097165,2023-07-26 09:41:33,839780.9000000004,820586
Higher Education Institutions,高等教育院校,Vocational Training Council,"VTC Tower, 27 Wood Road, Wan Chai, Hong Kong",職業訓練局,香港灣仔活道 27 號職業訓練局大樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815295.5,836330.8,22.2765182,114.17748369,2023-07-25 09:37:50,836330.7999999998,815295.5
Higher Education Institutions,高等教育院校,Hong Kong Design Institute,"3 King Ling Road, Tseung Kwan O, New Territories",香港知專設計學院,新界將軍澳景嶺路3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818556.8,844167.7,22.30595165,114.25354124,2023-07-25 09:35:49,844167.7000000002,818556.8000000007
Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University - School of Professional Education and Executive Development (West Kowloon Campus),"9 Hoi Ting Road, Yau Ma Tei, Kowloon",香港理工大學 - 專業進修學院 (西九龍校園),九龍油麻地海庭道9號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819294.39743331,835062.75966293,22.31263003,114.16517689,2023-07-25 09:33:18,835062.7597000003,819294.3973999992
Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University - School of Professional Education and Executive Development (Hung Hom Bay Campus),"8 Hung Lok Road, Hung Hom, Kowloon",香港理工大學 - 專業進修學院 (紅磡灣校園),九龍紅磡紅樂道8號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818301.86077858,837063.34492459,22.30366705,114.18459308,2023-07-25 09:33:04,837063.3448999999,818301.8607999999
Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University - Hong Kong Community College (West Kowloon Campus),"9 Hoi Ting Road, Yau Ma Tei, Kowloon",香港理工大學 - 香港專上學院 (西九龍校園),九龍油麻地海庭道9號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819318.2,835063.4,22.31284527,114.16518309,2023-07-25 09:32:45,835063.4000000004,819318.1999999993
Higher Education Institutions,高等教育院校,Hong Kong Baptist University - School of Continuing Education,"Shaw Campus, Hong Kong Baptist University, 34 Renfrew Road, Kowloon Tong, Kowloon",香港浸會大學持續教育學院,九龍塘聯福道三十四號 香港浸會大學逸夫校園,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822017.3,836769.4,22.33722007,114.18174156,2023-07-25 09:31:42,836769.4000000004,822017.3000000007
Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education (Lai King Campus),"201-203, Lai King Hill Road, Kwai Chung",香港都會大學 - 李嘉誠專業進修學院 (荔景校園),葵涌荔景山路201-203號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,823096.1,831112.2,22.34695461,114.12682251,2023-07-25 09:29:44,831112.2000000002,823096.0999999996
Higher Education Institutions,高等教育院校,Lingnan Institute of Further Education,"UG01, Lau Chung Him Building, Lingnan University, Tuen Mun, Hong Kong",嶺南大學持續進修學院,香港屯門嶺南大學劉仲謙樓UG01室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,830178.6,816437.2,22.41080633,113.98427186,2023-07-24 14:19:33,816437.2000000002,830178.5999999996
Higher Education Institutions,高等教育院校,Hong Kong Shue Yan University,"10 Wai Tsui Crescent, Braemar Hill Road, North Point",香港樹仁大學,北角寶馬山慧翠道10號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816381.50659493,838416.20954403,22.2863239,114.19771989,2023-07-24 14:17:45,838416.2094999999,816381.5066
Higher Education Institutions,高等教育院校,Caritas Bianchi College of Careers,"18 Chui Ling Road, Tseung Kwan O, New Territories",明愛白英奇專業學校,新界將軍澳調景嶺翠嶺路18號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818239.88184512,843854.88325581,22.30307382,114.25046614,2023-07-24 14:17:30,843854.8832999999,818239.8817999996
Higher Education Institutions,高等教育院校,Hong Kong Adventist College,1111 Clear Water Bay Road Sai Kung NT,香港三育書院,新界西貢清水灣道1111號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818706.21451538,847574.92686922,22.30728165,114.28660952,2023-07-24 14:17:14,847574.9269000003,818706.2145000007
Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Tuen Mun),"18 Tsing Wun Road, Tuen Mun, New Territories",香港專業教育學院 (屯門),新界屯門青雲路18號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,828270.5,814595.1,22.39355304,113.96640687,2023-07-24 14:16:36,814595.0999999996,828270.5
Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Sha Tin),"21 Yuen Wo Road, Sha Tin, New Territories",香港專業教育學院 (沙田),新界沙田源禾路21號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,827943.5,838419.9,22.39073561,114.19777129,2023-07-24 14:16:18,838419.9000000004,827943.5
Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Morrison Hill),"6 Oi Kwan Road, Wan Chai, Hong Kong",香港專業教育學院 (摩理臣山),香港灣仔愛群道6號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815294.1,836378.7,22.27650556,114.17794847,2023-07-24 14:15:53,836378.7000000002,815294.0999999996
Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Lee Wai Lee),"3 King Ling Road, Tseung Kwan O, New Territories",香港專業教育學院 (李惠利),新界將軍澳景嶺路3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818604,844220.6,22.30637765,114.25405487,2023-07-24 14:15:39,844220.5999999996,818604
